,0
149,6.288647471924115
150,
151,4.189760866973448
152,
153,
154,
155,
156,2.2523626055001067
157,0.18208575685646325
158,
159,
160,
161,0.766381492660984
162,0.7017470480519455
163,0.2926152017307552
164,0.29244520824812464
165,0.8810253196914266
166,1.6772482741999637
167,0.23070990174112727
168,
169,1.1039163624027586
170,0.20800608830897202
171,0.1541741532638555
172,0.7707167824287178
173,0.25424857739983225
174,0.7875116201031439
175,1.0589103850556207
176,0.3660944785426753
177,8.313148905087482
178,
179,0.5501866633624317
180,0.27949628892209727
181,3.549445022005533
182,6.165487820894501
183,
184,
185,
186,6.47407199759088
187,
188,
189,
190,
191,
192,
193,3.948891549286907
194,0.35087470886287353
195,
196,0.5944091350202879
197,
198,0.2892209840415965
199,
200,
201,
202,1.1984029558126263
203,1.0064509751378266
204,0.3025091987213114
205,
206,0.21711117374993294
207,0.39543635159196155
208,
209,0.48376291933834437
210,
211,0.5516034517145534
212,
213,3.463566907561814
214,0.8041836201717669
215,0.39282198382504097
216,
217,3.5447582578789922
218,1.361833095271575
219,2.0111410185571446
220,3.9400852241008653
221,
222,
223,4.257395764036561
224,0.553823171259198
225,6.654946718406105
226,0.57096341441056
227,0.29242994502502206
228,0.15259307598604835
229,0.16444020165607612
230,5.282126496134102
231,
232,0.41734907791670245
233,0.33857005382928845
234,
235,
236,
237,5.421395222008663
238,1.1990771676613565
239,0.47024364906194743
240,0.449126651423906
241,
242,0.9583056566481992
243,0.48971005398753115
244,0.4510005152099896
245,
246,0.8028604643111186
247,1.037268302208606
248,0.25016070833821064
249,
250,1.236167646190074
251,
252,
253,
254,
255,0.7905621512372911
256,
257,
258,13.6678459457499
259,2.550755526992547
260,
261,
262,0.2938144435523977
263,0.6029730305855918
264,0.25346568313310247
265,0.4471726412628412
266,1.2484022025399941
267,0.8773301418830016
268,0.8809543305804152
269,0.38820627345487163
270,0.22178408749304016
271,0.212317365074025
272,0.4956003610184708
273,0.16236846880086056
274,1.6782182927834843
275,
276,0.6955795510782179
277,0.5891302567751329
278,0.31462614832082325
279,0.30207354173922163
280,6.513519765015568
281,1.8725013356611055
282,
283,
284,4.400594541898335
285,
286,1.841011975814587
287,
288,
289,
290,7.391403462540028
291,
292,2.102945843721914
293,0.7899828508914138
294,
295,13.427997287882391
296,
297,
298,2.632351258060265
299,4.338523302801622
300,
301,
302,0.2821845978876173
303,0.27970312519568125
304,1.357578772347119
305,1.1055046121736822
306,8.140708090951309
307,0.9015552353328494
308,1.133611246956658
309,
310,0.3764407987933368
311,
312,
313,
314,
315,4.815327786059176
316,
317,0.6096989354538888
318,0.6157061608509522
319,0.8443357310882849
320,0.6180652681468243
321,0.8528218394524371
322,4.159919197303997
323,
324,
325,2.3167170473365153
326,
327,
328,6.4412212527241985
329,0.1516827024387943
330,0.28161284934794184
331,0.12440794690120131
332,0.30156488593970016
333,0.8675045636466729
334,
335,
336,0.2371294581270559
337,4.528528671991449
338,0.5543284066149207
339,4.292809179460081
340,
341,1.7245368621578248
342,1.5524810244502005
343,0.17765779197467368
344,0.10000341535496049
345,
346,0.7217414804493086
347,1.5761994484769422
348,
349,10.073522314687711
350,0.36513971460755384
351,0.31151676535253114
352,
353,
354,
355,
356,
357,0.1689048819050178
358,
359,
360,3.5104947101405424
361,
362,5.398932214421464
363,1.710158500528981
364,0.22675625199816762
365,0.8399812103092598
366,
367,0.5372235463777759
368,0.35853504876939046
369,0.1921630130934828
370,0.31527304317016686
371,1.4779325692424743
372,0.14438648278357807
373,7.600370731874225
374,0.9625785784573503
375,0.5745146928470642
376,0.3655097468620275
377,5.539833992424193
378,0.4233370547978755
379,1.121486044711778
380,0.659660981089943
381,
